/Roasted Vegetables and Cherry Tomato Pasta, /6, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Spicy ground turkey and green bean stir fry/Broccoli Cashew Stir fry, /6/1, University of Memphis, Kemmons Wilson Culinary Institute, 6:00pm - 7:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta, /4, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta, /2, University of Memphis, Main Campus, 6:00pm - 7:00pm, 
/Chickpea Salad, /9, University of Memphis, Kemmons Wilson Culinary Institute, 6:00pm - 7:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta/Butternut Squash and Lentil Soup/Spicy ground turkey and green bean stir fry, /4/2/1, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Chickpea Salad/Butternut Squash and Lentil Soup, /5/3, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Chicken Waldorf Salad, /3, University of Memphis, Kemmons Wilson Culinary Institute, 6:00pm - 7:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta, /2, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta, /5, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Butternut Squash and Lentil Soup/Chickpea Salad, /3/1, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Chickpea Salad/Chicken Waldorf Salad, /3/1, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Roasted Vegetables and Cherry Tomato Pasta, /3, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
/Butternut Squash and Lentil Soup, /7, University of Memphis, Main Campus, 5:00pm - 6:00pm, 
